position,layer,regime,metric,mean,ci_low,ci_high
answer,0,statement,accuracy,0.8958333333333334,0.8489583333333334,0.9375
answer,0,statement,roc_auc,0.9559461805555556,0.9263237847222222,0.9810112847222222
answer,0,statement,mean_within_fold_auc,0.9559461805555556,,
answer,0,joint,accuracy,0.859375,0.8125,0.9114583333333334
answer,0,joint,roc_auc,0.9153645833333334,0.865234375,0.9597439236111112
answer,0,joint,mean_within_fold_auc,0.9270833333333334,,
answer,1,speaker,accuracy,0.7864583333333334,0.71875,0.8489583333333334
answer,1,speaker,roc_auc,0.8485243055555556,0.7898220486111112,0.9037543402777778
answer,1,speaker,mean_within_fold_auc,0.8776041666666666,,
answer,1,statement,accuracy,0.703125,0.6510416666666666,0.7552083333333334
answer,1,statement,roc_auc,0.8080512152777778,0.7582438151041667,0.8556857638888888
answer,1,statement,mean_within_fold_auc,0.8910590277777778,,
answer,1,joint,accuracy,0.6979166666666666,0.6458333333333334,0.7447916666666666
answer,1,joint,roc_auc,0.7885199652777778,0.7333957248263889,0.8432074652777778
answer,1,joint,mean_within_fold_auc,0.890625,,
answer,2,speaker,accuracy,0.75,0.6666666666666666,0.828125
answer,2,speaker,roc_auc,0.8264973958333334,0.7537950303819445,0.8948567708333334
answer,2,speaker,mean_within_fold_auc,0.8333333333333334,,
answer,2,statement,accuracy,0.5833333333333334,0.5520833333333334,0.6197916666666666
answer,2,statement,roc_auc,0.7511935763888888,0.7001953125,0.8055609809027777
answer,2,statement,mean_within_fold_auc,0.8363715277777777,,
answer,2,joint,accuracy,0.5625,0.53125,0.5989583333333334
answer,2,joint,roc_auc,0.716796875,0.6629747178819445,0.7725694444444444
answer,2,joint,mean_within_fold_auc,0.796875,,
answer,3,speaker,accuracy,0.7552083333333334,0.6770833333333334,0.828125
answer,3,speaker,roc_auc,0.8159722222222222,0.7404513888888888,0.8862847222222222
answer,3,speaker,mean_within_fold_auc,0.828125,,
answer,3,statement,accuracy,0.5833333333333334,0.546875,0.6197916666666666
answer,3,statement,roc_auc,0.7218967013888888,0.6719807942708333,0.7722439236111112
answer,3,statement,mean_within_fold_auc,0.8194444444444444,,
answer,3,joint,accuracy,0.5625,0.5260416666666666,0.5989583333333334
answer,3,joint,roc_auc,0.6876085069444444,0.6372585720486111,0.7362196180555556
answer,3,joint,mean_within_fold_auc,0.75,,
answer,4,speaker,accuracy,0.7708333333333334,0.6979166666666666,0.8385416666666666
answer,4,speaker,roc_auc,0.8342013888888888,0.7667073567708333,0.8967013888888888
answer,4,speaker,mean_within_fold_auc,0.8489583333333334,,
answer,4,statement,accuracy,0.5572916666666666,0.5260416666666666,0.59375
answer,4,statement,roc_auc,0.7986111111111112,0.7354600694444444,0.8573160807291667
answer,4,statement,mean_within_fold_auc,0.8363715277777777,,
answer,4,joint,accuracy,0.5625,0.5364583333333334,0.59375
answer,4,joint,roc_auc,0.7368706597222222,0.6715494791666666,0.7994791666666666
answer,4,joint,mean_within_fold_auc,0.7708333333333334,,
answer,5,speaker,accuracy,0.78125,0.7135416666666666,0.8489583333333334
answer,5,speaker,roc_auc,0.8541666666666666,0.7928575303819445,0.9097222222222222
answer,5,speaker,mean_within_fold_auc,0.859375,,
answer,5,statement,accuracy,0.5729166666666666,0.5364583333333334,0.6145833333333334
answer,5,statement,roc_auc,0.7888454861111112,0.7279703776041667,0.8465711805555556
answer,5,statement,mean_within_fold_auc,0.8498263888888888,,
answer,5,joint,accuracy,0.5520833333333334,0.5208333333333334,0.5885416666666666
answer,5,joint,roc_auc,0.7355685763888888,0.6728515625,0.7962239583333334
answer,5,joint,mean_within_fold_auc,0.7864583333333334,,
answer,6,speaker,accuracy,0.734375,0.6614583333333334,0.8020833333333334
answer,6,speaker,roc_auc,0.7979600694444444,0.7330729166666666,0.8606797960069444
answer,6,speaker,mean_within_fold_auc,0.8229166666666666,,
answer,6,statement,accuracy,0.5260416666666666,0.5052083333333334,0.5520833333333334
answer,6,statement,roc_auc,0.6469184027777778,0.6086127387152778,0.6808810763888888
answer,6,statement,mean_within_fold_auc,0.7845052083333333,,
answer,6,joint,accuracy,0.515625,0.4895833333333333,0.546875
answer,6,joint,roc_auc,0.6032986111111112,0.564453125,0.6387803819444444
answer,6,joint,mean_within_fold_auc,0.7239583333333334,,
answer,7,speaker,accuracy,0.7083333333333334,0.6302083333333334,0.78125
answer,7,speaker,roc_auc,0.7396918402777778,0.6508246527777778,0.8244357638888888
answer,7,speaker,mean_within_fold_auc,0.7526041666666666,,
answer,7,statement,accuracy,0.5364583333333334,0.484375,0.5885416666666666
answer,7,statement,roc_auc,0.6251085069444444,0.5615207248263889,0.6880425347222222
answer,7,statement,mean_within_fold_auc,0.6781684027777778,,
answer,7,joint,accuracy,0.5729166666666666,0.5260416666666666,0.6197916666666666
answer,7,joint,roc_auc,0.5970052083333334,0.5448133680555556,0.6493055555555556
answer,7,joint,mean_within_fold_auc,0.6614583333333334,,
answer,8,speaker,accuracy,0.7239583333333334,0.6458333333333334,0.8020833333333334
answer,8,speaker,roc_auc,0.7579210069444444,0.6682915581597223,0.8422363281249999
answer,8,speaker,mean_within_fold_auc,0.7786458333333334,,
answer,8,statement,accuracy,0.578125,0.5364583333333334,0.6197916666666666
answer,8,statement,roc_auc,0.6319444444444444,0.5697699652777778,0.6942274305555556
answer,8,statement,mean_within_fold_auc,0.6770833333333333,,
answer,8,joint,accuracy,0.5572916666666666,0.5104166666666666,0.6041666666666666
answer,8,joint,roc_auc,0.6059027777777778,0.5523003472222222,0.6608072916666666
answer,8,joint,mean_within_fold_auc,0.6770833333333334,,
answer,9,speaker,accuracy,0.7083333333333334,0.625,0.7864583333333334
answer,9,speaker,roc_auc,0.7442491319444444,0.6502766927083333,0.8323567708333334
answer,9,speaker,mean_within_fold_auc,0.7578125,,
answer,9,statement,accuracy,0.6354166666666666,0.5729166666666666,0.6979166666666666
answer,9,statement,roc_auc,0.6851128472222222,0.6216362847222222,0.7501085069444444
answer,9,statement,mean_within_fold_auc,0.6840277777777778,,
answer,9,joint,accuracy,0.6302083333333334,0.5625,0.703125
answer,9,joint,roc_auc,0.6456163194444444,0.5838758680555556,0.7154947916666666
answer,9,joint,mean_within_fold_auc,0.6770833333333334,,
answer,10,speaker,accuracy,0.71875,0.671875,0.765625
answer,10,speaker,roc_auc,0.7804904513888888,0.7182074652777778,0.8400634765624999
answer,10,speaker,mean_within_fold_auc,0.7994791666666666,,
answer,10,statement,accuracy,0.5208333333333334,0.4947916666666667,0.5625
answer,10,statement,roc_auc,0.6015625,0.5594618055555556,0.6453993055555556
answer,10,statement,mean_within_fold_auc,0.6970486111111112,,
answer,10,joint,accuracy,0.515625,0.4947916666666667,0.546875
answer,10,joint,roc_auc,0.5713975694444444,0.5367838541666666,0.6110026041666666
answer,10,joint,mean_within_fold_auc,0.6770833333333334,,
answer,11,speaker,accuracy,0.71875,0.65625,0.7864583333333334
answer,11,speaker,roc_auc,0.79296875,0.7374131944444444,0.8506944444444444
answer,11,speaker,mean_within_fold_auc,0.828125,,
answer,11,statement,accuracy,0.5677083333333334,0.5208333333333334,0.6145833333333334
answer,11,statement,roc_auc,0.5975477430555556,0.5607611762152778,0.6365017361111112
answer,11,statement,mean_within_fold_auc,0.6733940972222222,,
answer,11,joint,accuracy,0.5364583333333334,0.5,0.578125
answer,11,joint,roc_auc,0.5815972222222222,0.5473090277777778,0.6188151041666666
answer,11,joint,mean_within_fold_auc,0.6666666666666666,,
answer,12,speaker,accuracy,0.7083333333333334,0.640625,0.78125
answer,12,speaker,roc_auc,0.7912326388888888,0.7251491970486111,0.8591606987847222
answer,12,speaker,mean_within_fold_auc,0.8255208333333334,,
answer,12,statement,accuracy,0.5520833333333334,0.5052083333333334,0.59375
answer,12,statement,roc_auc,0.61328125,0.5847439236111112,0.6437717013888888
answer,12,statement,mean_within_fold_auc,0.7185329861111112,,
answer,12,joint,accuracy,0.5520833333333334,0.515625,0.5885416666666666
answer,12,joint,roc_auc,0.5883246527777778,0.5673828125,0.6148003472222222
answer,12,joint,mean_within_fold_auc,0.7604166666666666,,
answer,13,speaker,accuracy,0.7083333333333334,0.6510416666666666,0.7708333333333334
answer,13,speaker,roc_auc,0.7863498263888888,0.7210259331597223,0.8522162543402777
answer,13,speaker,mean_within_fold_auc,0.8203125,,
answer,13,statement,accuracy,0.5260416666666666,0.5,0.5520833333333334
answer,13,statement,roc_auc,0.6019965277777778,0.5653184678819445,0.6378038194444444
answer,13,statement,mean_within_fold_auc,0.7016059027777778,,
answer,13,joint,accuracy,0.5104166666666666,0.4739583333333333,0.546875
answer,13,joint,roc_auc,0.5747612847222222,0.54296875,0.6086154513888888
answer,13,joint,mean_within_fold_auc,0.7239583333333334,,
answer,14,speaker,accuracy,0.6614583333333334,0.59375,0.7239583333333334
answer,14,speaker,roc_auc,0.7099609375,0.6258653428819445,0.7890625
answer,14,speaker,mean_within_fold_auc,0.71875,,
answer,14,statement,accuracy,0.515625,0.4791666666666667,0.5520833333333334
answer,14,statement,roc_auc,0.5719401041666666,0.5368896484375001,0.6078559027777778
answer,14,statement,mean_within_fold_auc,0.63671875,,
answer,14,joint,accuracy,0.5104166666666666,0.4791666666666667,0.5416666666666666
answer,14,joint,roc_auc,0.5469835069444444,0.5139973958333334,0.5829020182291667
answer,14,joint,mean_within_fold_auc,0.6197916666666666,,
answer,15,speaker,accuracy,0.65625,0.59375,0.71875
answer,15,speaker,roc_auc,0.6822916666666666,0.5999294704861111,0.7620442708333334
answer,15,speaker,mean_within_fold_auc,0.6953125,,
answer,15,statement,accuracy,0.5520833333333334,0.4947916666666667,0.6041666666666666
answer,15,statement,roc_auc,0.5696614583333334,0.5323350694444444,0.6057942708333334
answer,15,statement,mean_within_fold_auc,0.6393229166666667,,
answer,15,joint,accuracy,0.53125,0.4895833333333333,0.5729166666666666
