position,layer,statement,metric,condition,mean,ci_low,ci_high
answer,3,02,accuracy,gap,0.07291666666666663,-0.03125,0.16666666666666674
answer,3,combined,mean_within_fold_auc,within,0.7552083333333334,0.65625,0.84375
answer,3,combined,mean_within_fold_auc,cross,0.75,0.65625,0.8385416666666666
answer,3,combined,mean_within_fold_auc,gap,0.00520833333333337,-0.08854166666666663,0.08854166666666674
answer,3,combined,pooled_roc_auc,within,0.751953125,0.6667751736111112,0.8295410156249999
answer,3,combined,pooled_roc_auc,cross,0.6876085069444444,0.6372585720486111,0.7362196180555556
answer,3,combined,pooled_roc_auc,gap,0.06434461805555558,-0.01302354600694437,0.13042805989583328
answer,3,combined,accuracy,within,0.7135416666666666,0.625,0.796875
answer,3,combined,accuracy,cross,0.5625,0.5260416666666666,0.5989583333333334
answer,3,combined,accuracy,gap,0.15104166666666663,0.07291666666666663,0.22395833333333337
answer,4,01,mean_within_fold_auc,within,0.7604166666666666,0.6458333333333334,0.8645833333333334
answer,4,01,mean_within_fold_auc,cross,0.8229166666666666,0.71875,0.9166666666666666
answer,4,01,mean_within_fold_auc,gap,-0.0625,-0.20833333333333326,0.08333333333333337
answer,4,01,pooled_roc_auc,within,0.7821180555555556,0.6770833333333334,0.8776041666666666
answer,4,01,pooled_roc_auc,cross,0.76953125,0.6840277777777778,0.8537326388888888
answer,4,01,pooled_roc_auc,gap,0.01258680555555558,-0.11067708333333337,0.12544487847222208
answer,4,01,accuracy,within,0.75,0.6666666666666666,0.8333333333333334
answer,4,01,accuracy,cross,0.5208333333333334,0.5,0.5520833333333334
answer,4,01,accuracy,gap,0.22916666666666663,0.13541666666666663,0.32291666666666663
answer,4,02,mean_within_fold_auc,within,0.7395833333333334,0.6145833333333334,0.8541666666666666
answer,4,02,mean_within_fold_auc,cross,0.71875,0.5729166666666666,0.84375
answer,4,02,mean_within_fold_auc,gap,0.02083333333333337,-0.10416666666666674,0.15625
answer,4,02,pooled_roc_auc,within,0.7369791666666666,0.6371527777777778,0.8315972222222222
answer,4,02,pooled_roc_auc,cross,0.7625868055555556,0.6484266493055556,0.859375
answer,4,02,pooled_roc_auc,gap,-0.02560763888888895,-0.10633680555555547,0.06857638888888895
answer,4,02,accuracy,within,0.7083333333333334,0.6145833333333334,0.7916666666666666
answer,4,02,accuracy,cross,0.6041666666666666,0.5520833333333334,0.6666666666666666
answer,4,02,accuracy,gap,0.10416666666666674,0.01041666666666663,0.19791666666666663
answer,4,combined,mean_within_fold_auc,within,0.75,0.6510416666666666,0.8385416666666666
