sample_id,pair_id,actor,statement,repetition,intensity,emotion,donor_sample_id,layer,clean_margin,patched_margin,donor_sign,patch_effect
pair_0002_happy,pair_0002,01,02,01,01,happy,pair_0002_sad,7,-3.534588098526001,-3.994601011276245,-1,0.46001291275024414
pair_0002_happy,pair_0002,01,02,01,01,happy,pair_0002_sad,8,-3.534588098526001,-3.99422550201416,-1,0.4596374034881592
pair_0002_happy,pair_0002,01,02,01,01,happy,pair_0002_sad,9,-3.534588098526001,-4.002812385559082,-1,0.46822428703308105
pair_0002_happy,pair_0002,01,02,01,01,happy,pair_0002_sad,10,-3.534588098526001,-4.035846710205078,-1,0.5012586116790771
pair_0002_happy,pair_0002,01,02,01,01,happy,pair_0002_sad,11,-3.534588098526001,-4.023715496063232,-1,0.48912739753723145
pair_0002_happy,pair_0002,01,02,01,01,happy,pair_0002_sad,12,-3.534588098526001,-4.000323295593262,-1,0.46573519706726074
pair_0002_happy,pair_0002,01,02,01,01,happy,pair_0002_sad,13,-3.534588098526001,-3.980036973953247,-1,0.4454488754272461
pair_0002_happy,pair_0002,01,02,01,01,happy,pair_0002_sad,14,-3.534588098526001,-3.851944923400879,-1,0.31735682487487793
pair_0002_happy,pair_0002,01,02,01,01,happy,pair_0002_sad,15,-3.534588098526001,-3.8527543544769287,-1,0.31816625595092773
pair_0002_happy,pair_0002,01,02,01,01,happy,pair_0002_sad,16,-3.534588098526001,-3.822185516357422,-1,0.2875974178314209
pair_0002_happy,pair_0002,01,02,01,01,happy,pair_0002_sad,17,-3.534588098526001,-3.6721723079681396,-1,0.13758420944213867
pair_0002_happy,pair_0002,01,02,01,01,happy,pair_0002_sad,18,-3.534588098526001,-3.6014771461486816,-1,0.06688904762268066
pair_0002_happy,pair_0002,01,02,01,01,happy,pair_0002_sad,19,-3.534588098526001,-3.636746406555176,-1,0.1021583080291748
pair_0002_happy,pair_0002,01,02,01,01,happy,pair_0002_sad,20,-3.534588098526001,-3.6917684078216553,-1,0.1571803092956543
pair_0002_happy,pair_0002,01,02,01,01,happy,pair_0002_sad,21,-3.534588098526001,-3.731981039047241,-1,0.19739294052124023
pair_0002_happy,pair_0002,01,02,01,01,happy,pair_0002_sad,22,-3.534588098526001,-3.630068063735962,-1,0.09547996520996094
pair_0002_happy,pair_0002,01,02,01,01,happy,pair_0002_sad,23,-3.534588098526001,-3.534588098526001,-1,-0.0
pair_0002_sad,pair_0002,01,02,01,01,sad,pair_0002_happy,0,-3.9419286251068115,-3.5346570014953613,1,0.4072716236114502
pair_0002_sad,pair_0002,01,02,01,01,sad,pair_0002_happy,1,-3.9419286251068115,-3.533860683441162,1,0.4080679416656494
pair_0002_sad,pair_0002,01,02,01,01,sad,pair_0002_happy,2,-3.9419286251068115,-3.5363099575042725,1,0.40561866760253906
pair_0002_sad,pair_0002,01,02,01,01,sad,pair_0002_happy,3,-3.9419286251068115,-3.536064624786377,1,0.40586400032043457
pair_0002_sad,pair_0002,01,02,01,01,sad,pair_0002_happy,4,-3.9419286251068115,-3.5348761081695557,1,0.40705251693725586
pair_0002_sad,pair_0002,01,02,01,01,sad,pair_0002_happy,5,-3.9419286251068115,-3.534472942352295,1,0.4074556827545166
pair_0002_sad,pair_0002,01,02,01,01,sad,pair_0002_happy,6,-3.9419286251068115,-3.536083698272705,1,0.40584492683410645
pair_0002_sad,pair_0002,01,02,01,01,sad,pair_0002_happy,7,-3.9419286251068115,-3.4482593536376953,1,0.4936692714691162
pair_0002_sad,pair_0002,01,02,01,01,sad,pair_0002_happy,8,-3.9419286251068115,-3.4514565467834473,1,0.49047207832336426
pair_0002_sad,pair_0002,01,02,01,01,sad,pair_0002_happy,9,-3.9419286251068115,-3.445465564727783,1,0.4964630603790283
pair_0002_sad,pair_0002,01,02,01,01,sad,pair_0002_happy,10,-3.9419286251068115,-3.406491994857788,1,0.5354366302490234
pair_0002_sad,pair_0002,01,02,01,01,sad,pair_0002_happy,11,-3.9419286251068115,-3.420956611633301,1,0.5209720134735107
pair_0002_sad,pair_0002,01,02,01,01,sad,pair_0002_happy,12,-3.9419286251068115,-3.4401609897613525,1,0.501767635345459
pair_0002_sad,pair_0002,01,02,01,01,sad,pair_0002_happy,13,-3.9419286251068115,-3.459886074066162,1,0.4820425510406494
pair_0002_sad,pair_0002,01,02,01,01,sad,pair_0002_happy,14,-3.9419286251068115,-3.6183340549468994,1,0.3235945701599121
pair_0002_sad,pair_0002,01,02,01,01,sad,pair_0002_happy,15,-3.9419286251068115,-3.6286041736602783,1,0.3133244514465332
pair_0002_sad,pair_0002,01,02,01,01,sad,pair_0002_happy,16,-3.9419286251068115,-3.6687777042388916,1,0.2731509208679199
pair_0002_sad,pair_0002,01,02,01,01,sad,pair_0002_happy,17,-3.9419286251068115,-3.8145644664764404,1,0.1273641586303711
pair_0002_sad,pair_0002,01,02,01,01,sad,pair_0002_happy,18,-3.9419286251068115,-3.877960205078125,1,0.06396842002868652
pair_0002_sad,pair_0002,01,02,01,01,sad,pair_0002_happy,19,-3.9419286251068115,-3.835893392562866,1,0.10603523254394531
