sample_id,pair_id,actor,statement,repetition,intensity,emotion,condition,clean_margin,margin,shift_from_clean
pair_0015_happy,pair_0015,04,02,02,01,happy,center_joint,-3.3836679458618164,-3.4362552165985107,-0.052587270736694336
pair_0015_happy,pair_0015,04,02,02,01,happy,center_19,-3.3836679458618164,-3.3656060695648193,0.01806187629699707
pair_0015_happy,pair_0015,04,02,02,01,happy,center_23,-3.3836679458618164,-3.629032850265503,-0.24536490440368652
pair_0015_sad,pair_0015,04,02,02,01,sad,clean,-3.808556318283081,-3.808556318283081,0.0
pair_0015_sad,pair_0015,04,02,02,01,sad,zero_noop,-3.808556318283081,-3.808556318283081,0.0
pair_0015_sad,pair_0015,04,02,02,01,sad,center_joint,-3.808556318283081,-3.787484884262085,0.021071434020996094
pair_0015_sad,pair_0015,04,02,02,01,sad,center_19,-3.808556318283081,-3.7872190475463867,0.021337270736694336
pair_0015_sad,pair_0015,04,02,02,01,sad,center_23,-3.808556318283081,-4.0558271408081055,-0.24727082252502441
pair_0016_happy,pair_0016,05,01,01,01,happy,clean,-4.557373046875,-4.557373046875,0.0
pair_0016_happy,pair_0016,05,01,01,01,happy,zero_noop,-4.557373046875,-4.557373046875,0.0
pair_0016_happy,pair_0016,05,01,01,01,happy,center_joint,-4.557373046875,-4.799779891967773,-0.24240684509277344
pair_0016_happy,pair_0016,05,01,01,01,happy,center_19,-4.557373046875,-4.566472053527832,-0.009099006652832031
pair_0016_happy,pair_0016,05,01,01,01,happy,center_23,-4.557373046875,-4.3753437995910645,0.18202924728393555
pair_0016_sad,pair_0016,05,01,01,01,sad,clean,-4.196678638458252,-4.196678638458252,0.0
pair_0016_sad,pair_0016,05,01,01,01,sad,zero_noop,-4.196678638458252,-4.196678638458252,0.0
pair_0016_sad,pair_0016,05,01,01,01,sad,center_joint,-4.196678638458252,-4.379817008972168,-0.18313837051391602
pair_0016_sad,pair_0016,05,01,01,01,sad,center_19,-4.196678638458252,-4.209533214569092,-0.012854576110839844
pair_0016_sad,pair_0016,05,01,01,01,sad,center_23,-4.196678638458252,-4.012890815734863,0.18378782272338867
pair_0017_happy,pair_0017,05,01,02,01,happy,clean,-4.383161544799805,-4.383161544799805,0.0
pair_0017_happy,pair_0017,05,01,02,01,happy,zero_noop,-4.383161544799805,-4.383161544799805,0.0
pair_0017_happy,pair_0017,05,01,02,01,happy,center_joint,-4.383161544799805,-4.621429920196533,-0.23826837539672852
pair_0017_happy,pair_0017,05,01,02,01,happy,center_19,-4.383161544799805,-4.399187088012695,-0.016025543212890625
pair_0017_happy,pair_0017,05,01,02,01,happy,center_23,-4.383161544799805,-4.20542573928833,0.1777358055114746
pair_0017_sad,pair_0017,05,01,02,01,sad,clean,-4.5589680671691895,-4.5589680671691895,0.0
pair_0017_sad,pair_0017,05,01,02,01,sad,zero_noop,-4.5589680671691895,-4.5589680671691895,0.0
pair_0017_sad,pair_0017,05,01,02,01,sad,center_joint,-4.5589680671691895,-4.819448947906494,-0.2604808807373047
pair_0017_sad,pair_0017,05,01,02,01,sad,center_19,-4.5589680671691895,-4.575442314147949,-0.016474246978759766
pair_0017_sad,pair_0017,05,01,02,01,sad,center_23,-4.5589680671691895,-4.375234603881836,0.18373346328735352
pair_0018_happy,pair_0018,05,02,01,01,happy,clean,-3.286710500717163,-3.286710500717163,0.0
pair_0018_happy,pair_0018,05,02,01,01,happy,zero_noop,-3.286710500717163,-3.286710500717163,0.0
pair_0018_happy,pair_0018,05,02,01,01,happy,center_joint,-3.286710500717163,-3.3673322200775146,-0.08062171936035156
pair_0018_happy,pair_0018,05,02,01,01,happy,center_19,-3.286710500717163,-3.2732443809509277,0.013466119766235352
pair_0018_happy,pair_0018,05,02,01,01,happy,center_23,-3.286710500717163,-3.5393080711364746,-0.2525975704193115
pair_0018_sad,pair_0018,05,02,01,01,sad,clean,-3.481130361557007,-3.481130361557007,0.0
pair_0018_sad,pair_0018,05,02,01,01,sad,zero_noop,-3.481130361557007,-3.481130361557007,0.0
pair_0018_sad,pair_0018,05,02,01,01,sad,center_joint,-3.481130361557007,-3.556227445602417,-0.07509708404541016
