actor,statement,layer,n_calibration,shift_norm,mean_norm
20,01,22,92,10.000190714690115,12.32206645597166
20,01,23,92,8.724190956564772,5.628808181324307
20,02,18,92,5.364085580991098,12.95024474269787
20,02,19,92,1.7952357654998092,5.829179192175242
20,02,20,92,7.666058525630015,12.107437190040695
20,02,21,92,11.481387675460489,11.83314205752915
20,02,22,92,10.000190714690115,17.75851805551162
20,02,23,92,8.724190956564772,18.0157351098189
21,01,18,92,5.392774109590171,11.254277981661664
21,01,19,92,1.7858880254289116,5.895039263682513
21,01,20,92,7.651017028771601,17.80453502913576
21,01,21,92,11.417969928993186,21.427977835571117
21,01,22,92,9.935274288711401,12.161626043501213
21,01,23,92,8.659655061840901,5.657552941269664
21,02,18,92,5.392774109590171,12.953455829524923
21,02,19,92,1.7858880254289113,5.828280044569871
21,02,20,92,7.6510170287716,12.07027872129369
21,02,21,92,11.417969928993186,11.70096420991906
21,02,22,92,9.935274288711401,17.78475404475062
21,02,23,92,8.659655061840901,17.89330558038491
22,01,18,92,5.376539034502862,11.220277722273325
22,01,19,92,1.7922164478626321,5.9002504114148575
22,01,20,92,7.653605650147448,17.824166231816676
22,01,21,92,11.422555142737918,21.41511291099416
22,01,22,92,9.986573364574346,12.248329819404253
22,01,23,92,8.671997576084143,5.638632000637434
22,02,18,92,5.376539034502863,12.928249000230483
22,02,19,92,1.7922164478626321,5.80530378447992
22,02,20,92,7.653605650147448,12.057480166678731
22,02,21,92,11.422555142737918,11.738809678555358
22,02,22,92,9.986573364574346,17.819372153778826
22,02,23,92,8.671997576084143,17.917880241188644
23,01,18,92,5.382415643418383,11.268292192374238
23,01,19,92,1.806493896516903,5.902528536558867
23,01,20,92,7.665081034572444,17.840602570009406
23,01,21,92,11.449496682911551,21.47472785580635
23,01,22,92,9.959444365882236,12.224867024929372
23,01,23,92,8.679225334989267,5.645077993379317
23,02,18,92,5.382415643418383,12.937358849620683
23,02,19,92,1.806493896516903,5.821519175400843
23,02,20,92,7.665081034572443,12.087682311573385
23,02,21,92,11.449496682911553,11.788610192876542
23,02,22,92,9.959444365882236,17.759441242736635
23,02,23,92,8.679225334989267,17.92556276580077
24,01,18,92,5.395157695551791,11.224389718709185
24,01,19,92,1.8030539792479314,5.917732094479789
24,01,20,92,7.661162219826263,17.831629107086318
24,01,21,92,11.424098383467166,21.423148010767463
24,01,22,92,9.975612033502982,12.217754567821839
24,01,23,92,8.683088330267735,5.647046188975378
24,02,18,92,5.395157695551791,12.965614492325388
24,02,19,92,1.8030539792479314,5.811999232261995
24,02,20,92,7.661162219826263,12.050200850626878
24,02,21,92,11.424098383467166,11.736797596986971
24,02,22,92,9.975612033502982,17.827926023323037
24,02,23,92,8.683088330267735,17.944427223819346
