layer,component,statement,condition,metric,mean,ci_low,ci_high
8,mlp,01,cross,pooled_roc_auc,-0.003038194444444531,-0.03515625,0.02387152777777779
9,mlp,01,cross,pooled_roc_auc,0.0,-0.0234375,0.02864583333333337
10,mlp,01,cross,pooled_roc_auc,-0.00954861111111116,-0.03732638888888895,0.02083333333333337
11,mlp,01,cross,pooled_roc_auc,0.01302083333333337,-0.021278211805555593,0.04817708333333337
12,mlp,01,cross,pooled_roc_auc,0.01215277777777779,-0.04904513888888884,0.07638888888888884
13,mlp,01,cross,pooled_roc_auc,0.0060763888888888395,-0.02907986111111116,0.04513888888888895
14,mlp,01,cross,pooled_roc_auc,-0.07421875,-0.13411458333333337,-0.02864583333333326
15,mlp,01,cross,pooled_roc_auc,-0.01953125,-0.05598958333333337,0.02039930555555558
16,mlp,01,cross,pooled_roc_auc,0.01345486111111105,-0.018674045138888963,0.04427083333333326
17,mlp,01,cross,pooled_roc_auc,0.05208333333333337,0.003895399305555565,0.10503472222222221
18,mlp,01,cross,pooled_roc_auc,-0.03125,-0.06770833333333337,0.00954861111111105
19,mlp,01,cross,pooled_roc_auc,-0.00520833333333337,-0.04253472222222221,0.03038194444444442
20,mlp,01,cross,pooled_roc_auc,0.01649305555555558,-0.012586805555555526,0.05164930555555547
21,mlp,01,cross,pooled_roc_auc,0.0021701388888888395,-0.026041666666666685,0.03298611111111105
22,mlp,01,cross,pooled_roc_auc,-0.013020833333333315,-0.046006944444444475,0.013020833333333315
23,mlp,01,cross,pooled_roc_auc,-0.005642361111111105,-0.032986111111111105,0.01866319444444442
0,attention,01,cross,accuracy,0.30208333333333337,0.20833333333333337,0.38541666666666663
1,attention,01,cross,accuracy,-0.09375,-0.1875,0.0
2,attention,01,cross,accuracy,-0.20833333333333326,-0.28125,-0.13541666666666663
3,attention,01,cross,accuracy,0.0,0.0,0.0
4,attention,01,cross,accuracy,0.01041666666666663,0.0,0.03125
5,attention,01,cross,accuracy,0.0,0.0,0.0
6,attention,01,cross,accuracy,-0.031250000000000056,-0.08333333333333331,0.0
7,attention,01,cross,accuracy,0.11458333333333331,0.031250000000000056,0.19791666666666669
8,attention,01,cross,accuracy,-0.10416666666666674,-0.17708333333333337,-0.03125
9,attention,01,cross,accuracy,0.01041666666666674,-0.05208333333333337,0.08333333333333326
10,attention,01,cross,accuracy,-0.08333333333333337,-0.17708333333333331,0.0
11,attention,01,cross,accuracy,-0.02083333333333337,-0.07291666666666674,0.020833333333333315
12,attention,01,cross,accuracy,0.0,0.0,0.0
13,attention,01,cross,accuracy,-0.01041666666666663,-0.03125,0.0
14,attention,01,cross,accuracy,0.0,0.0,0.0
15,attention,01,cross,accuracy,0.0,0.0,0.0
16,attention,01,cross,accuracy,0.0,0.0,0.0
17,attention,01,cross,accuracy,0.01041666666666663,0.0,0.03125
18,attention,01,cross,accuracy,0.0,-0.03125,0.03125
19,attention,01,cross,accuracy,0.02083333333333337,-0.041666666666666685,0.08333333333333337
20,attention,01,cross,accuracy,0.01041666666666663,-0.02083333333333337,0.04166666666666674
21,attention,01,cross,accuracy,-0.01041666666666674,-0.08333333333333331,0.0625
22,attention,01,cross,accuracy,-0.031250000000000056,-0.10416666666666669,0.041666666666666685
23,attention,01,cross,accuracy,-0.01041666666666663,-0.03125,0.0
